,Answer_Number,Key Question,Label,Point_Recommendation,Question_Number,Question_Number_V2,Question_Type,Schema,Unnamed: 0,Unnamed: 0.1,agreed_Answer,agreement_adjusted_points,agreement_score,alpha_unitizing_score,alpha_unitizing_score_inclusive,answer_content,answer_uuid_x,answer_uuid_y,arg_T1.Q1,arg_case_number,arg_match_score,arg_offsets,article_id,article_num,article_sha256,coding_perc_agreement,highlighted_indices,num_answer_choices,num_users,one_two_diff,points,prereq_passed,question_text,question_type,quiz_task_uuid,schema,schema_namespace,schema_sha256,source_T1.Q1,source_T1.Q2,source_T1.Q3,source_T1.Q4,source_match_score,src_case_number,src_offsets,target_text,tua_uuid
0,5.0,,Circumspect,1.0,2.0,,ordinal,Overall,0.0,1.0,5.0,0.980601592285984,0.980601592285984,,,Not at all biased,,5e5c35ea-e965-41c3-921c-0a75f87fc648,0.0,0.0,0.0,0.0,raw_50a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,100041.0,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,0.980601592285984,[],5.0,6.0,0.980601592285984,0.980601592285984,1.0,"Given everything you know about the world, how *biased* does the article seem to you, overall?",ordinal,34429049-6872-4f6c-b569-ef68127979a4,Overall,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,1.0,,Good Title,2.0,6.0,,ordinal,Overall,1.0,58.0,1.0,1.1083713057234186,0.5541856528617093,0.14596923076923074,-0.06806519367454532,"Yes, without exaggeration",,d7210ff0-aa4a-4d74-8682-4816668dfabc,0.0,0.0,0.0,0.0,raw_50ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,100039.0,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,0.9624020749541876,"[62, 63, 64, 65, 66]",5.0,5.0,0.9624020749541876,1.1083713057234186,1.0,Does the title match the text?,ordinal,91db25cf-af96-4653-9cd0-09953983d3c4,Overall,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fishy,
2,1.0,,Good Title,2.0,6.0,,ordinal,Overall,2.0,38.0,1.0,1.9721607884078185,0.9860803942039092,,,"Yes, without exaggeration",,d7210ff0-aa4a-4d74-8682-4816668dfabc,0.0,0.0,0.0,0.0,raw_50ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,100040.0,ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,0.9860803942039092,[],5.0,5.0,0.9860803942039092,1.9721607884078185,1.0,Does the title match the text?,ordinal,6375834d-682b-489b-8000-b6c6e60c45f9,Overall,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3,1.0,,Good Title,2.0,6.0,,ordinal,Overall,3.0,18.0,1.0,2.0,1.0,,,"Yes, without exaggeration",,d7210ff0-aa4a-4d74-8682-4816668dfabc,0.0,0.0,0.0,0.0,raw_50a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,100041.0,a2cbd2793021682ba8c9d0dc90f901373791b6653b8de686a304de0f07fbdcd0,1.0,[],5.0,6.0,1.0,2.0,1.0,Does the title match the text?,ordinal,34429049-6872-4f6c-b569-ef68127979a4,Overall,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,Reasoning,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5,3.0,,Alternative explanation,-2.0,8.0,,ordinal,Evidence,0.0,34.0,3.0,-2.0,1.0,,,Equally likely,,2652c44f-77b0-4791-a42e-0d2bf7c35e45,0.0,0.0,0.0,0.0,raw_50d1a27dc55d4704fbbb9ede3958d88ee37f118049cc6e19fc242d49f7d3d0cf5d,100043.0,d1a27dc55d4704fbbb9ede3958d88ee37f118049cc6e19fc242d49f7d3d0cf5d,1.0,[],5.0,1.0,1.0,-2.0,1.0,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",ordinal,f8c05253-e7d4-420f-8728-5dc0869855ff,Evidence,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,05b31292-9f3c-410a-8500-d11fc7c2bf98
6,3.0,,Alternative explanation,-2.0,8.0,,ordinal,Evidence,1.0,13.0,3.0,-2.0,1.0,,,Equally likely,,2652c44f-77b0-4791-a42e-0d2bf7c35e45,0.0,0.0,0.0,0.0,raw_50bc5e5c03288f88718cc4461277e3e5e58741dfd97b8281ae511949f4551c26f1,100047.0,bc5e5c03288f88718cc4461277e3e5e58741dfd97b8281ae511949f4551c26f1,1.0,[],5.0,1.0,1.0,-2.0,1.0,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",ordinal,be3d77ab-978a-4f47-944c-1c3d08d2dd4e,Evidence,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,86ff9189-131b-4df0-8ac0-ecb492f7138b
7,4.0,,Open to evidence,-2.0,12.0,,ordinal,Evidence,2.0,17.0,4.0,-1.978250460994212,0.989125230497106,,,"No, not at all",,83611ea8-cb5f-4b8f-883b-9bb5d313e9e9,0.0,0.0,0.0,0.0,raw_50bc5e5c03288f88718cc4461277e3e5e58741dfd97b8281ae511949f4551c26f1,100047.0,bc5e5c03288f88718cc4461277e3e5e58741dfd97b8281ae511949f4551c26f1,0.989125230497106,[],4.0,4.0,0.989125230497106,-1.978250460994212,1.0,Does the author suggest in any way that further evidence might improve our understanding of the topic?,ordinal,be3d77ab-978a-4f47-944c-1c3d08d2dd4e,Evidence,Evidence Specialist,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,86ff9189-131b-4df0-8ac0-ecb492f7138b
8,3.0,,Exaggeration,-2.5,3.0,,ordinal,Language,0.0,1358.0,3.0,-2.2564432383948807,0.9025772953579524,0.7570693030218292,0.7570693030218292,Some misrepresentation,,eeb1946c-0054-45ae-ae67-ace18d009fa0,0.0,0.0,0.0,0.0,raw_50dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,100030.0,dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,0.9025772953579524,"[2686.0, 2687.0, 2688.0, 2689.0, 2690.0, 2691.0, 2692.0, 2693.0, 2694.0, 2695.0, 2696.0, 2697.0, 2698.0, 2699.0, 2700.0, 2701.0, 2702.0, 2703.0, 2704.0, 2786.0, 2787.0, 2788.0, 2789.0, 2790.0, 2791.0, 2792.0, 2793.0, 2794.0, 2795.0, 2796.0, 2797.0, 2798.0, 2799.0, 2800.0, 2801.0, 2802.0, 2803.0]",5.0,5.0,0.9025772953579524,-2.2564432383948807,1.0,How much does the exaggeration misrepresent reality?,ordinal,cb82f1f9-9383-49c9-a244-65e044e642d7,Language,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,bec3f95b-c917-42b3-9619-0c9a31132479
9,3.0,,Exaggeration,-2.5,3.0,,ordinal,Language,1.0,1415.0,3.0,-2.5,1.0,0.4980534974255934,0.4980534974255934,Some misrepresentation,,eeb1946c-0054-45ae-ae67-ace18d009fa0,3,2.0,1.0,"[7863, 7864, 7865, 7866, 7867, 7868, 7869, 7870, 7871, 7872, 7873, 7874, 7875, 7876, 7877, 7878, 7879, 7880, 7881, 7882, 7883, 7884, 7885, 7886, 7887, 7888, 7889, 7890, 7891, 7892, 7893, 7894, 7895, 7896, 7897, 7898, 7899, 7900, 7901, 7902, 7903, 7904, 7905, 7906, 7907, 7908, 7909, 7910, 7911, 7912, 7913, 7914, 7915, 7916, 7917, 7918, 7919, 7920, 7921, 7922, 7923, 7924, 7925, 7926, 7927, 7928, 7929, 7930, 7931, 7932, 7933, 7934, 7935, 7936, 7937, 7938, 7939, 7940, 7941, 7942, 7943, 7944, 7945, 7946, 7947, 7948, 7949, 7950, 7951, 7952, 7953, 7954, 7955, 7956, 7957, 7958, 7959, 7960, 7961, 7962, 7963, 7964, 7965, 7966, 7967, 7968, 7969, 7970, 7971, 7972, 7973, 7974, 7975, 7976, 7977, 7978, 7979, 7980, 7981, 7982, 7983, 7984, 7985, 7986, 7987, 7988, 7989, 7990, 7991, 7992, 7993, 7994, 7995, 7996, 7997, 7998, 7999, 8000, 8001, 8002, 8003, 8004, 8005, 8006, 8007, 8008, 8009, 8010, 8011, 8012, 8013, 8014, 8015, 8016, 8017, 8018, 8019, 8020, 8021, 8022, 8023, 8024, 8025, 8026, 8027, 8028, 8029, 8030, 8031, 8032, 8033, 8034, 8035, 8036, 8037, 8038, 8039, 8040, 8041, 8042, 8043, 8044, 8045, 8046, 8047, 8048, 8049, 8050, 8051, 8052, 8053, 8054, 8055, 8056, 8057, 8058, 8059, 8060, 8061, 8062, 8063, 8064, 8065, 8066, 8067, 8068, 8069, 8070, 8071, 8072, 8073, 8074, 8075, 8076, 8077, 8078, 8079, 8080, 8081, 8082, 8083, 8084, 8085, 8086, 8087, 8088, 8089, 8090, 8091, 8092, 8093, 8094, 8095, 8096, 8097, 8098, 8099, 8100, 8101, 8102, 8103, 8104, 8105, 8106, 8107, 8108, 8109, 8110, 8111, 8112, 8113, 8114, 8115, 8116, 8117, 8118, 8119, 8120, 8121, 8122, 8123, 8124, 8125, 8126, 8127, 8128, 8129, 8130, 8131, 8132, 8133, 8134, 8135, 8136, 8137, 8138, 8139, 8140, 8141, 8142, 8143, 8144, 8145, 8146, 8147, 8148, 8149, 8150, 8151, 8152, 8153, 8154, 8155, 8156, 8157, 8158, 8159, 8160, 8161, 8162, 8163, 8164, 8165, 8166, 8167, 8168, 8169, 8170, 8171, 8172, 8173, 8174, 8175, 8176, 8177, 8178, 8179, 8180, 8181, 8182, 8183, 8184, 8185, 8186, 8187, 8188, 8189, 8190, 8191, 8192, 8193, 8194, 8195, 8196, 8197, 8198, 8199, 8200, 8201, 8202, 8203, 8204, 8205, 8206, 8207, 8208, 8209, 8210, 8211, 8212, 8213, 8214, 8215, 8216, 8217, 8218, 8219, 8220, 8221, 8222, 8223, 8224, 8225, 8226, 8227, 8228, 8229, 8230, 8231, 8232, 8233, 8234, 8235, 8236, 8237, 8238, 8239, 8240, 8241, 8242, 8243, 8244, 8245, 8246, 8247, 8248, 8249, 8250, 8251, 8252, 8253, 8254, 8255, 8256, 8257, 8258, 8259, 8260, 8261, 8262, 8263, 8264, 8265, 8266, 8267, 8268, 8269, 8270, 8271, 8272, 8273, 8274, 8275, 8276, 8277, 8278, 8279, 8280, 8281, 8282, 8283, 8284, 8285, 8286, 8287, 8288, 8289, 8290, 8291, 8292, 8293, 8294, 8295, 8296, 8297, 8298, 8299, 8300, 8301, 8302, 8303, 8304, 8305, 8306, 8307, 8308, 8309, 8310, 8311, 8312, 8313, 8314, 8315, 8316, 8317, 8318, 8319, 8320, 8321, 8322, 8323, 8324, 8325, 8326, 8327, 8328, 8329, 8330, 8331, 8332, 8333, 8334, 8335, 8336, 8337, 8338, 8339, 8340, 8341, 8342, 8343, 8344, 8345, 8346, 8347, 8348, 8349, 8350, 8351, 8352, 8353, 8354, 8355, 8356, 8357, 8358, 8359, 8360, 8361, 8362, 8363, 8364, 8365, 8366, 8367, 8368, 8369, 8370, 8371, 8372, 8373, 8374, 8375, 8376, 8377, 8378, 8379, 8380, 8381, 8382, 8383, 8384, 8385, 8386, 8387, 8388, 8389, 8390, 8391, 8392, 8393, 8394, 8395, 8396, 8397, 8398, 8399, 8400, 8401, 8402, 8403, 8404, 8405, 8406, 8407, 8408, 8409, 8410, 8411, 8412, 8413, 8414, 8415, 8416, 8417, 8418, 8419, 8420, 8421, 8422, 8423, 8424, 8425, 8426, 8427, 8428, 8429, 8430, 8431, 8432, 8433, 8434, 8435, 8436, 8437, 8438, 8439, 8440, 8441, 8442, 8443, 8444, 8445, 8446, 8447, 8448, 8449, 8450, 8451, 8452, 8453, 8454, 8455, 8456, 8457, 8458, 8459, 8460, 8461, 8462, 8463, 8464, 8465, 8466, 8467, 8468, 8469, 8470, 8471, 8472, 8473, 8474, 8475]",raw_5095e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,100036.0,95e59347e8dd79fe6656dad63f1a495731158f5d629350decb9d78a7739e19cd,1.0,"[301.0, 302.0, 303.0, 304.0, 305.0, 306.0, 307.0, 308.0, 309.0, 435.0, 436.0, 437.0, 438.0, 439.0, 440.0, 441.0]",5.0,3.0,1.0,-2.5,1.0,How much does the exaggeration misrepresent reality?,ordinal,cd6dacb2-189a-4298-a47a-8a00645de98e,Language,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2d1f2eaf-706a-4575-ab4d-3d2a4a31d04a
