,Schema,Question_Number,Question_Number_V2,Question_Type,Answer_Number,Point_Recommendation,Label,Unnamed: 0,article_num,article_sha256,quiz_task_uuid,tua_uuid,schema_namespace,schema_sha256,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed,agreement_adjusted_points,schema
0,Language,2,,ordinal,2,-3.0,Metaphor unhelpful,167,100004,2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,8834447e-41ad-41cc-9785-bd1d8311fab7,465537a5-aab7-4dd5-8ee3-b81dbb723ad0,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,d2cd9a46-efc7-4bf8-874c-992e3819a6de,ordinal,2,0.7648089362279381,0.7648089362279381,[],nan,nan,0.7648089362279381,7,5,nan,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",CONSIDERABLY excessive/inappropriate,True,-2.294426808683814,Language
1,Language,3,,ordinal,2,-3.75,Exaggeration,215,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,8a155187-7903-4284-97a2-c40404008deb,07b49d8a-c03c-4a20-9221-8116e77694cf,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,2af77450-063e-4c16-8831-8d120771d9bf,ordinal,2,0.7213895970999107,0.7213895970999107,[],nan,nan,0.7213895970999107,21,5,nan,How much does the exaggeration misrepresent reality?,Considerable misrepresentation,True,-2.705210989124665,Language
2,Language,3,,ordinal,2,-3.75,Exaggeration,191,100002,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,887ec9e8-c7e0-4eed-8cbf-ad7fc96a60d5,a566bbf2-d2e9-487c-8b28-581bff5576a8,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,2af77450-063e-4c16-8831-8d120771d9bf,ordinal,2,0.606024165823054,0.606024165823054,[],nan,nan,0.606024165823054,13,5,nan,How much does the exaggeration misrepresent reality?,Considerable misrepresentation,True,-2.272590621836452,Language
3,Language,3,,ordinal,3,-2.5,Exaggeration,304,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a25ed7d6-4f1b-40a4-9f72-54e13e5658eb,9e7f8607-da75-45e1-b618-440fe3babe2d,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f2e288b6-2bef-4de4-bc9f-2944d2bd73cf,ordinal,3,0.7253416481278449,0.7253416481278449,[],nan,nan,0.7253416481278449,33,5,nan,How much does the exaggeration misrepresent reality?,Some misrepresentation,True,-1.8133541203196122,Language
4,Language,3,,ordinal,3,-2.5,Exaggeration,78,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,430c7d69-746d-494a-ae25-abbf1c003b3b,88597571-f02b-41ec-9bc0-0454a244c226,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f2e288b6-2bef-4de4-bc9f-2944d2bd73cf,ordinal,3,0.7572227820453934,0.7572227820453934,[],nan,nan,0.7572227820453934,18,5,nan,How much does the exaggeration misrepresent reality?,Some misrepresentation,True,-1.8930569551134835,Language
5,Language,3,,ordinal,3,-2.5,Exaggeration,101,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,6c7879c3-c0da-4b76-bd7b-8b766e6b353d,a361c9f7-0541-4471-8ab2-ecfa1c08be78,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f2e288b6-2bef-4de4-bc9f-2944d2bd73cf,ordinal,3,0.8571795400582324,0.8571795400582324,[],nan,nan,0.8571795400582324,14,5,nan,How much does the exaggeration misrepresent reality?,Some misrepresentation,True,-2.142948850145581,Language
6,Language,3,,ordinal,3,-2.5,Exaggeration,14,100002,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,156e8426-0563-41af-95b1-5e32f270aa1d,9746daf9-f0d4-4640-b660-dbbfc3c37b05,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f2e288b6-2bef-4de4-bc9f-2944d2bd73cf,ordinal,3,0.7528465385427706,0.7528465385427706,[],nan,nan,0.7528465385427706,23,5,nan,How much does the exaggeration misrepresent reality?,Some misrepresentation,True,-1.8821163463569266,Language
7,Language,3,,ordinal,3,-2.5,Exaggeration,390,100003,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,da7af1d8-5f23-4c4e-9f2a-f0bb35798aaf,07744457-9f78-4d5b-a41b-3822a44a1c20,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f2e288b6-2bef-4de4-bc9f-2944d2bd73cf,ordinal,3,0.8319532866619567,0.8319532866619567,[],nan,nan,0.8319532866619567,15,5,nan,How much does the exaggeration misrepresent reality?,Some misrepresentation,True,-2.0798832166548915,Language
8,Language,5,,ordinal,3,-3.0,Inappropriately emotional,391,100003,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,da7af1d8-5f23-4c4e-9f2a-f0bb35798aaf,07744457-9f78-4d5b-a41b-3822a44a1c20,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,102522c9-cba2-4a51-9e08-154e7ce3ae36,ordinal,3,0.6895514695049142,0.6895514695049142,[],nan,nan,0.6895514695049142,16,5,nan,How strong is the emotional tone?,Moderate,True,-2.0686544085147425,Language
9,Language,9,,ordinal,4,-0.25,Inappropriate slang,308,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a25ed7d6-4f1b-40a4-9f72-54e13e5658eb,9e7f8607-da75-45e1-b618-440fe3babe2d,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,0f546cd5-8701-45d8-895f-566b5d3766cd,ordinal,4,0.7684726520317376,0.7684726520317376,[],nan,nan,0.7684726520317376,26,5,nan,How appropriate is the slang?,Mildly inappropriate,True,-0.1921181630079344,Language
10,Language,9,,ordinal,4,-0.25,Inappropriate slang,439,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f65e3f32-7347-42b3-a6b2-39bc62e226c2,8698af67-ea81-4562-b248-782882849aa8,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,0f546cd5-8701-45d8-895f-566b5d3766cd,ordinal,4,0.7713145321198425,0.7713145321198425,[],nan,nan,0.7713145321198425,25,5,nan,How appropriate is the slang?,Mildly inappropriate,True,-0.19282863302996062,Language
11,Language,9,,ordinal,4,-0.25,Inappropriate slang,18,100002,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,156e8426-0563-41af-95b1-5e32f270aa1d,9746daf9-f0d4-4640-b660-dbbfc3c37b05,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,0f546cd5-8701-45d8-895f-566b5d3766cd,ordinal,4,0.7585106656768019,0.7585106656768019,[],nan,nan,0.7585106656768019,16,5,nan,How appropriate is the slang?,Mildly inappropriate,True,-0.18962766641920048,Language
12,Language,10,,ordinal,4,-0.25,Denigration,440,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f65e3f32-7347-42b3-a6b2-39bc62e226c2,8698af67-ea81-4562-b248-782882849aa8,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,eabc38f6-7225-49be-87c3-f65df1ccdeb7,ordinal,4,0.7046225537795222,0.7046225537795222,[],nan,nan,0.7046225537795222,25,4,nan,Is the slang used to denigrate a group or perspective?,No,True,-0.17615563844488055,Language
13,Language,10,,ordinal,4,-0.25,Denigration,309,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a25ed7d6-4f1b-40a4-9f72-54e13e5658eb,9e7f8607-da75-45e1-b618-440fe3babe2d,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,eabc38f6-7225-49be-87c3-f65df1ccdeb7,ordinal,4,0.7298909647454727,0.7298909647454727,[],nan,nan,0.7298909647454727,26,4,nan,Is the slang used to denigrate a group or perspective?,No,True,-0.18247274118636816,Language
