Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,L0,Language,Metaphor unhelpful,-2.294426808683814,[],-1,-1,nan
2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,L0,Language,Writing errors,-2.1199922663873747,[],-1,-1,nan
2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,L0,Language,Well-balanced,0.40367746102880203,[],-1,-1,nan
2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,L0,Language,Well-balanced,0.40367746102880203,[],-1,-1,nan
2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,L0,Language,Well-balanced,0.8150120424781608,[],-1,-1,nan
2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,L0,Language,Well-balanced,0.8616541669070521,[],-1,-1,nan
2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,L0,Language,Well-balanced,0.7740381219969353,[],-1,-1,nan
2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,L0,Language,Well-balanced,0.8193209352660333,[],-1,-1,nan
2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,P0,Probability,Inappropriate confidence,-1.2755674709692242,[],-1,-1,nan
2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,P0,Probability,Acknowledges uncertainty,0.294548427136531,"[1549, 1550, 1551, 1552, 1553, 1554, 1555]",1549,1556,expected
,,,,,,,,
