Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,E0,Evidence,Alternative explanation,-1.5296178724558762,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,E0,Evidence,Open to evidence,-1.7701227334342735,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Exaggeration,-2.0798832166548915,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Inappropriately emotional,-2.0686544085147425,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Well-balanced,0.35952332828347183,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Well-balanced,0.35826205623580765,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Well-balanced,0.3202998988133621,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Well-balanced,0.3462580155460799,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Well-balanced,0.8490772729895113,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,L0,Language,Well-balanced,0.7786281066853388,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,P0,Probability,Inappropriate confidence,-1.2437216903788595,[],-1,-1,nan
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,P0,Probability,Doesn’t acknowledge uncertainty,-1.4781453282289796,"[3936, 3937, 3938]",3936,3938,may//probably
a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,P0,Probability,Doesn’t acknowledge uncertainty,0,"[3988, 3989, 3990, 3991, 3992, 3993, 3994]",3988,3995,may//probably
,,,,,,,,
