,Answer_Number,Label,Point_Recommendation,Question_Number,Question_Number_V2,Question_Type,Schema,Unnamed: 0,Unnamed: 0.1,agreed_Answer,agreement_adjusted_points,agreement_score,alpha_unitizing_score,alpha_unitizing_score_inclusive,answer_content,answer_uuid,article_num,article_sha256,binary_odds_by_chance,coding_perc_agreement,highlighted_indices,num_answer_choices,num_users,odds_by_chance,one_two_diff,prereq_passed,question_text,question_type,quiz_task_uuid,schema,schema_namespace,schema_sha256,target_text
0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,Reasoning,,,
0,1.0,Quality of evidence,0.0,2.0,,categorical,Evidence,0,135.0,1.0,0.0,0.38235294117647056,L,L,"General Causation (in general, X causes Y)",bff699c4-cc50-4f82-8bf1-d13354bc0f29,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,,0.7647058823529411,L,3.0,17.0,,0.2352941176470589,True,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,checklist,99968e91-36d0-4be9-a40f-858fdc0451d0,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
1,1.0,Quality of evidence,0.0,2.0,,categorical,Evidence,1,44.0,1.0,0.0,0.577477884065899,0.507896944602386,0.3349191807438019,"General Causation (in general, X causes Y)",bff699c4-cc50-4f82-8bf1-d13354bc0f29,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,,0.6470588235294118,"[1144, 1145, 1146, 1147, 1148, 1149, 1150, 1151, 1152, 1153, 1154, 1155, 1156, 1157, 1158, 1159, 1160, 1161, 1162, 1163, 1164, 1165, 1166, 1167, 1168, 1169, 1170, 1171, 1172, 1173, 1174, 1175, 1176, 1177, 1178, 1179, 1180, 1181, 1182, 1183, 1184, 1185, 1186, 1187, 1188, 1189, 1190, 1191, 1192, 1193, 1194, 1195, 1196, 1197, 1198, 1199, 1200, 1201, 1202, 1203, 1204, 1205, 1206, 1207, 1208, 1209, 1210, 1211, 1212, 1213, 1214, 1215, 1216, 1217, 1218, 1219, 1220, 1221, 1222, 1223, 1224, 1225, 1226, 1227, 1228, 1229, 1230, 1231, 1232, 1233, 1234, 1235, 1236, 1237, 1238, 1239, 1240, 1241, 1242, 1243, 1244, 1245, 1246, 1247, 1248, 1249, 1250, 1251, 1252, 1253, 1254]",3.0,17.0,,0.3529411764705882,True,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,checklist,0b99412a-f09e-4153-9a36-74674e987a79,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,doctors’ prescribing habits — whether they give out opioids at a higher rate versus a lower rate — matter a lot
2,1.0,Quality of evidence,0.0,2.0,,categorical,Evidence,2,67.0,1.0,0.0,0.3235294117647059,L,L,"General Causation (in general, X causes Y)",bff699c4-cc50-4f82-8bf1-d13354bc0f29,1737.0,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,,0.6470588235294118,L,3.0,17.0,,0.3529411764705882,True,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,checklist,5257406f-8cb8-42b8-b4dd-799e0a22931f,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
3,3.0,Quality of evidence,0.0,2.0,,categorical,Evidence,3,116.0,3.0,0.0,0.8823529411764706,,,No causal claim made,d583c4ea-bac3-4231-bf02-3305a841e26b,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,,0.8823529411764706,[],3.0,17.0,,0.11764705882352945,True,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,checklist,983244f8-22a2-4674-8c34-b2c83e3c755e,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
4,3.0,Quality of evidence,0.0,2.0,,categorical,Evidence,4,2.0,3.0,0.0,0.6842105263157895,,,No causal claim made,d583c4ea-bac3-4231-bf02-3305a841e26b,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,,0.6842105263157895,[],3.0,19.0,,0.3157894736842105,True,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,checklist,025a8515-ff9b-4ce9-b56a-ab8bdf2ca8c1,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
5,1.0,Sample representativeness,0.0,5.0,,ordinal,Evidence,5,80.0,1.0,0.0,0.4783357023503962,L,L,Very representative (Also choose this if entire population is examined),71a296b3-a9b8-4cf9-aca7-68863b33fc62,1737.0,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,,0.9566714047007924,L,6.0,14.0,,0.9566714047007924,True,How representative is the sample of the population that the claim is made about?,ordinal,5257406f-8cb8-42b8-b4dd-799e0a22931f,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
6,2.0,Sample representativeness,-0.4,5.0,,ordinal,Evidence,6,56.0,2.0,-0.2426006492605433,0.6065016231513581,0.4487848161843404,0.29445311200186153,Fairly representative,14832e61-b250-4465-9f1e-18fa6dbaf4a0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,,0.7642184301183759,"[1364, 1365, 1366, 1367, 1368, 1369, 1370, 1371, 1372, 1373, 1374, 1375, 1376, 1377, 1378, 1379, 1380, 1381, 1382, 1383, 1384, 1385, 1386, 1387, 1388, 1407, 1408, 1409, 1410, 1411, 1412, 1413, 1414, 1415, 1416, 1417, 1418, 1419, 1420, 1421, 1422, 1423, 1424, 1425, 1426, 1427, 1428, 1429, 1430, 1431, 1432, 1433, 1435, 1436, 1437, 1438, 1439, 1440, 1441, 1442, 1443, 1444, 1445, 1446, 1447, 1448]",6.0,13.0,,0.7642184301183759,True,How representative is the sample of the population that the claim is made about?,ordinal,0b99412a-f09e-4153-9a36-74674e987a79,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,"375,000 Medicare patients//an emergency department for//common reasons"
7,3.0,Sample representativeness,-1.0,5.0,,ordinal,Evidence,7,147.0,3.0,-0.344705582343127,0.344705582343127,L,L,Somewhat representative,b973e4c0-55d5-4878-b41a-69c65db81b11,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,,0.689411164686254,L,6.0,15.0,,0.689411164686254,True,How representative is the sample of the population that the claim is made about?,ordinal,99968e91-36d0-4be9-a40f-858fdc0451d0,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
8,3.0,Alternative explanation,-2.0,9.0,,ordinal,Evidence,8,174.0,3.0,-1.5932825646279185,0.7966412823139591,,,Equally likely,0fb832e6-99a8-4bec-b8b1-b73594019f7c,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,,0.7966412823139591,[],5.0,10.0,,0.7966412823139591,True,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",ordinal,d2de0341-c711-40d0-9790-176e94e84c67,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
