Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End
c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,E0,Evidence,Quality of evidence,0.0,L,-1,-1
c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,E0,Evidence,Sample representativeness,0.0,L,-1,-1
c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,E0,Evidence,Alternative explanation,0.0,[],-1,-1
c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,E0,Evidence,Alternative explanation,0.0,[],-1,-1
c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,E0,Evidence,Statistical uncertainty,-0.8526671436161601,L,-1,-1
c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,E0,Evidence,Systematic uncertainty,-0.4171583424838258,[],-1,-1
c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,E0,Evidence,Open to evidence,-1.5237860395527745,[],-1,-1
c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,P0,Probability,Inappropriate confidence,-0.41346135809942336,[],-1,-1
c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,P0,Probability,False precision,-0.5356603597245225,"[1314, 1315, 1316, 1317, 1318, 1540, 1541, 1542, 1888, 1889, 1890, 1891, 1892, 1893, 1894, 1895]",1314,1318
c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,P0,Probability,False precision,0,"[1314, 1315, 1316, 1317, 1318, 1540, 1541, 1542, 1888, 1889, 1890, 1891, 1892, 1893, 1894, 1895]",1540,1542
c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,P0,Probability,False precision,0,"[1314, 1315, 1316, 1317, 1318, 1540, 1541, 1542, 1888, 1889, 1890, 1891, 1892, 1893, 1894, 1895]",1888,1895
