Article ID,Credibility Indicator ID,Credibilty Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End
dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,E0,Evidence,Quality of evidence,0.0,[],-1,-1
dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,E0,Evidence,Alternative explanation,-1.5932825646279185,[],-1,-1
dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,E0,Evidence,Alternative explanation,0.0,[],-1,-1
dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,E0,Evidence,Alternative explanation,0.0,[],-1,-1
dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,E0,Evidence,Statistical uncertainty,-1.981670474885799,"[3513, 3514, 3515, 3516, 3517, 3518, 3519, 3520, 3521, 3522, 3523, 3524, 3525, 3526, 3527, 3528, 3529, 3530, 3531, 3532, 3533, 3534, 3535, 3536, 3537, 3538, 3539, 3540, 3541, 3542, 3543, 3544, 3545, 3546, 3547, 3548, 3549, 3550, 3551, 3552, 3553, 3554, 3555, 3556, 3557, 3558, 3559, 3560, 3561, 3562, 3563, 3564, 3565, 3566, 3567, 3568, 3569, 3570, 3571, 3572, 3573, 3574, 3575, 3576, 3577, 3578, 3579, 3580, 3581, 3582, 3583, 3584, 3585, 3586, 3587, 3588, 3589, 3590, 3591, 3592, 3593, 3594, 3595, 3596, 3597, 3598, 3599, 3600, 3601, 3602, 3603, 3604, 3605, 3606, 3607, 3608, 3609, 3610, 3611, 3612, 3613, 3614, 3615, 3616, 3617, 3618, 3619, 3620, 3621, 3622, 3623, 3624, 3625, 3626, 3627, 3628, 3629, 3630, 3631, 3632, 3633, 3634, 3635, 3636, 3637, 3638, 3639, 3640, 3641, 3642, 3643, 3644, 3645, 3646, 3647, 3648, 3649, 3650, 3651, 3652, 3653, 3654, 3655, 3656]",3513,3656
dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,E0,Evidence,Statistical uncertainty,-2.0558291175477743,"[1202, 1203, 1204, 1205, 1206, 1207, 1208, 1209, 1210, 1211, 1212, 1213, 1214, 1215, 1216, 1217, 1218, 1219, 1220, 1221, 1222, 1223, 1224, 1225, 1226, 1227, 1228, 1229, 1230, 1231, 1232, 1233, 1234, 1235, 1236, 1237, 1238, 1239, 1240, 1241, 1242, 1243, 1244, 1245, 1246, 1247, 1248, 1249, 1250, 1251, 1252, 1253, 1254, 1255, 1256, 1257, 1258, 1259, 1260, 1261, 1262, 1263, 1264, 1265, 1266, 1267, 1268, 1269, 1270, 1271, 1272, 1273, 1274, 1275, 1276, 1277, 1278, 1279, 1280, 1281, 1282, 1283, 1284, 1285, 1286, 1287, 1288, 1289, 1290, 1291, 1292, 1293, 1294, 1295, 1296, 1297, 1298, 1299, 1300, 1301, 1302, 1303, 1304, 1305, 1306, 1307, 1308, 1309, 1310, 1311, 1312, 1313, 1314, 1315, 1316, 1317, 1318, 1319, 1320, 1321, 1322, 1323, 1324, 1325, 1326, 1327, 1328, 1329, 1330, 1331, 1332, 1333, 1334, 1335, 1336, 1337, 1338, 1339, 1340, 1341, 1342, 1343, 1344, 1345, 1346, 1347, 1348, 1349, 1350, 1351, 1352, 1353, 1354, 1355, 1356, 1357, 1358, 1359, 1360, 1361, 1362, 1363, 1364, 1365, 1366, 1367, 1368, 1369, 1370, 1371, 1372, 1373, 1374, 1375, 1376, 1377, 1378, 1379, 1380, 1381]",1202,1381
dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,E0,Evidence,Systematic uncertainty,-1.2427812138790144,[],-1,-1
dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,E0,Evidence,Systematic uncertainty,-0.3544662424570351,[],-1,-1
dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,E0,Evidence,Open to evidence,-1.3205377429618397,[],-1,-1
dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,E0,Evidence,Open to evidence,-1.361359374297778,[],-1,-1
