sha256,article_number,filename,generator_uuid,generator_name,quiz_task_uuid,topic_name,case_number,offsets
5184fc8503bfd01e116d19fc2c2c28540388892a19b7a4728ea3467d586e4814,3,"""3article.txt""",274f5f54-c098-4935-b8b9-29e557f3a24b,SpecialistTest,0d2d7b15-5356-4728-baed-6a89ba7d79fe,Questionable Logic,1,"[[1278, 1321, ""further rise in unemployment in the region.""], [2642, 2711, ""\""Farmers are left with nothing, not event with clean drinking water,\""""], [1257, 1321, ""which will lead to a further rise in unemployment in the region.""], [1200, 1256, ""this year's farming had collapsed because of the floods,""], [1268, 1306, ""lead to a further rise in unemployment""], [1685, 1747, ""struggled to evacuate people living in the financial capital's""], [1899, 1922, ""forecasting heavy rains""], [3716, 3751, ""rise in extreme weather events such""]]"
5184fc8503bfd01e116d19fc2c2c28540388892a19b7a4728ea3467d586e4814,3,"""3article.txt""",5e355d63-741f-49c9-9da0-0f9353369099,SpecialistBias1,0cd186ca-5afa-4021-8ad0-9dcec813088c,Psychological Bias,1,"[[3499, 3551, ""which authorities have described as \""unprecedented\"".""], [599, 770, ""South Asia suffers from frequent flooding during the monsoon season, which lasts from June to September, but authorities have said this year's floods have been much worse.""], [3421, 3551, ""The disaster comes as headlines have focused on the floods in Houston, Texas, which authorities have described as \""unprecedented\"".""], [1573, 1660, ""Pradesh, reports said more than 100 people had died and 2.5 million have been affected.""]]"
5184fc8503bfd01e116d19fc2c2c28540388892a19b7a4728ea3467d586e4814,3,"""3article.txt""",baff720b-b567-4de6-b9ec-d45c33bd465c,SpecialistTone1,83c30fc3-16f7-4e2d-a5eb-1ffff17e1b8b,Questionable Tone,1,"[[1767, 1797, ""transport links were paralysed""], [3268, 3381, ""in Bangladesh - more than the population of Scotland - and around 1.4 million people have been affected in Nepal.""], [3381, 3385, ""  \n\n""], [2344, 2443, ""More than 600,000 hectares of farmland have been partially damaged and in excess of 10,000 hectares""], [2642, 2711, ""\""Farmers are left with nothing, not event with clean drinking water,\""""], [3499, 3551, ""which authorities have described as \""unprecedented\"".""], [1127, 1137, ""poor state""], [2655, 2673, ""left with nothing,""], [3894, 3906, ""worst storms""], [4077, 4101, ""\""a big negative impact\"".""], [1118, 1194, ""Bihar, a poor state known for its mass migration from rural areas to cities,""], [269, 301, ""millions have been left homeless""], [388, 412, ""worst flooding disasters""], [2298, 2340, ""submerged at least a third of the country.""], [2454, 2477, ""completely washed away,""], [3139, 3162, ""worst flooding incident""], [3284, 3320, ""more than the population of Scotland""], [1324, 1540, ""[Image of children rowing a boat]\nCaption: Children row a boat as they pass through damaged houses at a flood-affected village in Morigaon district in the northeastern state of Assam, India. (REUTERS/Anuwar Hazarika)""], [1662, 1874, ""In Mumbai, authorities struggled to evacuate people living in the financial capital's low-lying areas as transport links were paralysed and downpours led to water rising up to five feet in some parts of the city.""], [3823, 3863, ""the hallmark of man-made climate change.""], [2056, 2246, ""submerged houses are seen at a flood-affected village in Morigaon district in the northeastern state of Assam, India. (REUTERS/Anuwar Hazarika)\n\nIn neighbouring Bangladesh, at least 134 have""]]"
5184fc8503bfd01e116d19fc2c2c28540388892a19b7a4728ea3467d586e4814,3,"""3article.txt""",d0347a76-dc01-4dcd-ba12-9e8a95a9de02,SpecialistSci1,07fb7776-f5d5-42ec-bb10-b7ce9fa379c4,Questionable Science,1,"[[1278, 1321, ""further rise in unemployment in the region.""], [2674, 2711, ""not event with clean drinking water,\""""], [3827, 3847, ""hallmark of man-made""], [3894, 3899, ""worst""], [708, 770, ""authorities have said this year's floods have been much worse.""], [1125, 1321, ""a poor state known for its mass migration from rural areas to cities, said this year's farming had collapsed because of the floods, which will lead to a further rise in unemployment in the region.""], [3117, 3190, ""the UN has called the worst flooding incident in the country in a decade.""], [3712, 3863, ""The rise in extreme weather events such as hurricanes and floods have been identified by climate scientists as the hallmark of man-made climate change.""], [3867, 3975, ""The US has seen two of its worst storms ever, Hurricane Harvey and Hurricane Katrina, in just over a decade.""], [4021, 4101, ""said climate change and new weather patterns are having \""a big negative impact\"".""], [1767, 1874, ""transport links were paralysed and downpours led to water rising up to five feet in some parts of the city.""], [2540, 2639, ""dependent on farming and the country lost around a million tonnes of rice in flash floods in April.""], [3770, 3863, ""floods have been identified by climate scientists as the hallmark of man-made climate change.""], [1064, 1357, ""disaster management official in Patna, the capital of Bihar, a poor state known for its mass migration from rural areas to cities, said this year's farming had collapsed because of the floods, which will lead to a further rise in unemployment in the region. \n\n[Image of children rowing a boat]""], [596, 599, "" \n\n""], [599, 748, ""South Asia suffers from frequent flooding during the monsoon season, which lasts from June to September, but authorities have said this year's floods""], [770, 773, "" \n\n""], [3747, 3863, ""such as hurricanes and floods have been identified by climate scientists as the hallmark of man-made climate change.""], [3712, 3863, ""The rise in extreme weather events such as hurricanes and floods have been identified by climate scientists as the hallmark of man-made climate change.""], [599, 640, ""South Asia suffers from frequent flooding""]]"
5184fc8503bfd01e116d19fc2c2c28540388892a19b7a4728ea3467d586e4814,3,"""3article.txt""",d96cf0ca-f1e5-45cd-baff-9da3732168f7,SpecialistLogic1,196dfccc-01ad-4ffb-921e-0393eca5502d,Questionable Logic,1,"[[1278, 1321, ""further rise in unemployment in the region.""], [2642, 2711, ""\""Farmers are left with nothing, not event with clean drinking water,\""""], [1257, 1321, ""which will lead to a further rise in unemployment in the region.""], [1200, 1256, ""this year's farming had collapsed because of the floods,""], [1268, 1306, ""lead to a further rise in unemployment""], [1685, 1747, ""struggled to evacuate people living in the financial capital's""], [1899, 1922, ""forecasting heavy rains""], [3716, 3751, ""rise in extreme weather events such""]]"
ec8f50de22368ebf18afc3c39d84f614d1012c8ec642c638d7b429ce92ed4d8a,4,"""4article.txt""",274f5f54-c098-4935-b8b9-29e557f3a24b,SpecialistTest,c5f20c39-efcc-4c6e-b0e1-d24ebf4a6c77,Questionable Logic,2,"[[3189, 3194, ""These""]]"
ec8f50de22368ebf18afc3c39d84f614d1012c8ec642c638d7b429ce92ed4d8a,4,"""4article.txt""",274f5f54-c098-4935-b8b9-29e557f3a24b,SpecialistTest,cf978800-e81d-41cc-bc80-765a4d38ff09,Questionable Logic,1,"[[2597, 2810, ""That's because some people fill the void with sugar, white flour and empty calories. Also, some fat is important to help bodies absorb nutrients from other foods. Many have said butter has gotten a bad reputation.""], [989, 1053, ""MORE: Coconut oil is out. These are the oils you should be using""], [2978, 3051, ""\""You can put it on your body, but don’t put it in your body,\"" Sacks said.""], [1453, 1499, ""Past weight loss studies might be responsible.""], [1502, 1616, ""“The reason coconut oil is so popular for weight loss is partly due to my research on medium chain triglycerides,\""""], [2597, 2681, ""That's because some people fill the void with sugar, white flour and empty calories.""], [2813, 2975, ""Still, it might not be a bad idea to opt for vegetable oils or olive oil, Sacks said. Plus, coconut oil can still be an effective moisturizer or hair conditioner.""], [2978, 3051, ""\""You can put it on your body, but don’t put it in your body,\"" Sacks said.""], [2597, 2681, ""That's because some people fill the void with sugar, white flour and empty calories.""], [2682, 2810, ""Also, some fat is important to help bodies absorb nutrients from other foods. Many have said butter has gotten a bad reputation.""], [488, 528, ""advising against the use of coconut oil.""], [1055, 1233, ""\""Because coconut oil increases LDL cholesterol, a cause of CVD [cardiovascular disease], and has no known offsetting favorable effects, we advise against the use of coconut oil,\""""], [3195, 3245, ""foods get a bad rap, but are actually good for you""], [2820, 2886, ""it might not be a bad idea to opt for vegetable oils or olive oil,""]]"
ec8f50de22368ebf18afc3c39d84f614d1012c8ec642c638d7b429ce92ed4d8a,4,"""4article.txt""",5e355d63-741f-49c9-9da0-0f9353369099,SpecialistBias1,bbdaa1d0-b65d-470f-9235-482903b5b981,Psychological Bias,1,"[[3189, 3245, ""These foods get a bad rap, but are actually good for you""], [850, 987, ""In fact, 82% of the fat in coconut oil is saturated, according to the data — far beyond butter (63%), beef fat (50%) and pork lard (39%).""], [3064, 3245, ""Cutting saturated fat doesn't necessarily reduce heart disease risk\nAlways keep these foods in your house for healthy eating\nThese foods get a bad rap, but are actually good for you""], [2905, 2975, ""coconut oil can still be an effective moisturizer or hair conditioner.""], [60, 141, ""Subtitle: Authorities say monsoon flooding is one of the worst in region in years""], [2760, 2810, ""Many have said butter has gotten a bad reputation.""], [2978, 3051, ""\""You can put it on your body, but don’t put it in your body,\"" Sacks said.""], [1573, 1584, ""my research""]]"
ec8f50de22368ebf18afc3c39d84f614d1012c8ec642c638d7b429ce92ed4d8a,4,"""4article.txt""",baff720b-b567-4de6-b9ec-d45c33bd465c,SpecialistTone1,c826415d-5337-43f6-a3fc-af96fc74ce25,Questionable Tone,1,"[[259, 324, ""Caption: Turns out coconut oil has more saturated fats than lard!""], [655, 678, ""LDL (\""bad\"") cholesterol""], [1375, 1499, ""he has no idea why people think coconut oil is healthy. It's almost 100% fat. Past weight loss studies might be responsible.""], [3064, 3245, ""Cutting saturated fat doesn't necessarily reduce heart disease risk\nAlways keep these foods in your house for healthy eating\nThese foods get a bad rap, but are actually good for you""], [7, 58, ""Coconut oil isn't healthy. It's never been healthy.""], [2369, 2374, ""trash""], [2422, 2428, ""loaded""], [3211, 3215, ""rap,""], [7, 58, ""Coconut oil isn't healthy. It's never been healthy.""], [268, 324, ""Turns out coconut oil has more saturated fats than lard!""], [995, 1053, ""Coconut oil is out. These are the oils you should be using""], [1330, 1430, ""Frank Sacks, lead author on the report, said he has no idea why people think coconut oil is healthy.""], [34, 58, ""It's never been healthy.""], [1378, 1430, ""has no idea why people think coconut oil is healthy.""], [268, 324, ""Turns out coconut oil has more saturated fats than lard!""], [2018, 2032, ""\""designer oil\""""], [2403, 2434, ""saturated fat is a loaded term.""], [70, 141, ""Authorities say monsoon flooding is one of the worst in region in years""], [268, 298, ""Turns out coconut oil has more""], [34, 58, ""It's never been healthy.""]]"
ec8f50de22368ebf18afc3c39d84f614d1012c8ec642c638d7b429ce92ed4d8a,4,"""4article.txt""",d0347a76-dc01-4dcd-ba12-9e8a95a9de02,SpecialistSci1,cef4cab7-d0c2-4bed-9157-08e60080e6e0,Questionable Science,1,"[[720, 852, ""Researchers didn't see a difference between coconut oil and other oils high in saturated fat, like butter, beef fat and palm oil. In""], [1977, 2055, ""The problem is St-Onge's research used a \""designer oil\"" packed with 100% MCTs.""], [2111, 2224, ""Another study she published showed smaller doses of MCTs doesn't help with weight loss in overweight adolescents.""], [720, 849, ""Researchers didn't see a difference between coconut oil and other oils high in saturated fat, like butter, beef fat and palm oil.""], [268, 324, ""Turns out coconut oil has more saturated fats than lard!""], [633, 719, ""coconut oil increased LDL (\""bad\"") cholesterol in seven out of seven controlled trials.""], [732, 987, ""didn't see a difference between coconut oil and other oils high in saturated fat, like butter, beef fat and palm oil. In fact, 82% of the fat in coconut oil is saturated, according to the data — far beyond butter (63%), beef fat (50%) and pork lard (39%).""], [1843, 1975, ""my research showed eating medium-chain triglycerides may increase the rate of metabolism more than eating long-chain triglycerides.”""], [1977, 2055, ""The problem is St-Onge's research used a \""designer oil\"" packed with 100% MCTs.""], [620, 624, ""fat,""], [625, 719, ""showing coconut oil increased LDL (\""bad\"") cholesterol in seven out of seven controlled trials.""], [2056, 2110, ""Traditional coconut oil only contains about 13 to 15%.""], [2682, 2759, ""Also, some fat is important to help bodies absorb nutrients from other foods.""], [1453, 1499, ""Past weight loss studies might be responsible.""], [2146, 2224, ""smaller doses of MCTs doesn't help with weight loss in overweight adolescents.""], [2813, 2886, ""Still, it might not be a bad idea to opt for vegetable oils or olive oil,""]]"
ec8f50de22368ebf18afc3c39d84f614d1012c8ec642c638d7b429ce92ed4d8a,4,"""4article.txt""",d96cf0ca-f1e5-45cd-baff-9da3732168f7,SpecialistLogic1,c62b22b2-c671-46ed-bb6f-bd9f999936ab,Questionable Logic,2,"[[3189, 3194, ""These""]]"
