schema_namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
Covid_Probability,d5f24573a7077ee3ebb203ca64f955a8c5d5a6c6b25aa65e1bfa6fa71d1311f2,ad97ca62-1a2e-41bd-9cf0-864f5981823c,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",cc7bd3fb-7170-4721-824c-055842436206,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,da7862b6-36a1-4e8b-8acd-ae75e1cd516b,T1.Q1.A1,Yes,T1.Q2,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Probability,d5f24573a7077ee3ebb203ca64f955a8c5d5a6c6b25aa65e1bfa6fa71d1311f2,ad97ca62-1a2e-41bd-9cf0-864f5981823c,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",cc7bd3fb-7170-4721-824c-055842436206,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,29d14258-0445-497a-b33f-13d4e382cb0e,T1.Q1.A2,Maybe,T1.Q2,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Probability,d5f24573a7077ee3ebb203ca64f955a8c5d5a6c6b25aa65e1bfa6fa71d1311f2,ad97ca62-1a2e-41bd-9cf0-864f5981823c,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",cc7bd3fb-7170-4721-824c-055842436206,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,93f9e87c-fc74-48b2-9f74-523a705c0f2d,T1.Q1.A3,No,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Probability,d5f24573a7077ee3ebb203ca64f955a8c5d5a6c6b25aa65e1bfa6fa71d1311f2,ad97ca62-1a2e-41bd-9cf0-864f5981823c,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",83602393-e04a-4577-8035-363901277bce,T1.Q2,To what extent does the confidence seem justified?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,b8d99362-e808-4e7d-bda4-e8d4caf5e433,T1.Q2.A1,Completely justified,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Probability,d5f24573a7077ee3ebb203ca64f955a8c5d5a6c6b25aa65e1bfa6fa71d1311f2,ad97ca62-1a2e-41bd-9cf0-864f5981823c,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",83602393-e04a-4577-8035-363901277bce,T1.Q2,To what extent does the confidence seem justified?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,5e519ae6-0615-424d-97a8-2c662b66ca48,T1.Q2.A2,Mostly justified,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Probability,d5f24573a7077ee3ebb203ca64f955a8c5d5a6c6b25aa65e1bfa6fa71d1311f2,ad97ca62-1a2e-41bd-9cf0-864f5981823c,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",83602393-e04a-4577-8035-363901277bce,T1.Q2,To what extent does the confidence seem justified?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,c0276eb8-54a0-479c-9f1a-23774f765bbe,T1.Q2.A3,Somewhat justified,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Probability,d5f24573a7077ee3ebb203ca64f955a8c5d5a6c6b25aa65e1bfa6fa71d1311f2,ad97ca62-1a2e-41bd-9cf0-864f5981823c,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",83602393-e04a-4577-8035-363901277bce,T1.Q2,To what extent does the confidence seem justified?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,4a477aeb-528b-48bb-865f-9789a0ebc793,T1.Q2.A4,Slightly justified,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Probability,d5f24573a7077ee3ebb203ca64f955a8c5d5a6c6b25aa65e1bfa6fa71d1311f2,ad97ca62-1a2e-41bd-9cf0-864f5981823c,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",83602393-e04a-4577-8035-363901277bce,T1.Q2,To what extent does the confidence seem justified?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,e72448f0-b2f6-4347-a859-e09fe97b7577,T1.Q2.A5,Not at all justified,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Probability,d5f24573a7077ee3ebb203ca64f955a8c5d5a6c6b25aa65e1bfa6fa71d1311f2,ad97ca62-1a2e-41bd-9cf0-864f5981823c,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",078c8893-cefd-4209-a2f4-af155f46df61,T1.Q5,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,3adf818c-86cd-457b-8a4e-3d737aa3a659,T1.Q5.A1,"Yes, explicitly",,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Probability,d5f24573a7077ee3ebb203ca64f955a8c5d5a6c6b25aa65e1bfa6fa71d1311f2,ad97ca62-1a2e-41bd-9cf0-864f5981823c,Probability Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",078c8893-cefd-4209-a2f4-af155f46df61,T1.Q5,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,197d9ebe-9a23-43a6-ab46-ff4f0aae75cf,T1.Q5.A2,"Yes, implicitly",,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
