schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,start_pos,end_pos,target_text,source_text_length
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,78a04eb2-9135-45cf-a2c7-4ce60e1bd3ca,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,05cd1671-706e-45cf-870d-5dcbef554ccf,61f77a88-8f4a-407f-bdc6-7f06ef467f94,Science and Causality Questions for SSS Students V2,T1.Q5,Does the article make some kind of causal claim?,T1.Q5.A1,Yes,de55e6b5-bf3d-4ff0-9d14-f4072f63d5df,05cd1671-706e-45cf-870d-5dcbef554ccf,Yes,0,1043,1148,"As states legalize marijuana or its medical use, expectant mothers are taking it up in increasing numbers",10122
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,78a04eb2-9135-45cf-a2c7-4ce60e1bd3ca,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,05cd1671-706e-45cf-870d-5dcbef554ccf,61f77a88-8f4a-407f-bdc6-7f06ef467f94,Science and Causality Questions for SSS Students V2,T1.Q5,Does the article make some kind of causal claim?,T1.Q5.A1,Yes,de55e6b5-bf3d-4ff0-9d14-f4072f63d5df,05cd1671-706e-45cf-870d-5dcbef554ccf,Yes,0,1805,2001,"Marijuana’s main psychoactive ingredient — tetrahydrocannabinol, or THC — can cross the placenta to reach the fetus, experts say, potentially harming brain development, cognition and birth weight.",10122
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,78a04eb2-9135-45cf-a2c7-4ce60e1bd3ca,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,05cd1671-706e-45cf-870d-5dcbef554ccf,61f77a88-8f4a-407f-bdc6-7f06ef467f94,Science and Causality Questions for SSS Students V2,T1.Q5,Does the article make some kind of causal claim?,T1.Q5.A1,Yes,de55e6b5-bf3d-4ff0-9d14-f4072f63d5df,05cd1671-706e-45cf-870d-5dcbef554ccf,Yes,0,3295,3460,6-year-olds born to mothers who had smoked one joint or more daily in the first trimester showed a decreased ability to understand concepts in listening and reading.,10122
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,78a04eb2-9135-45cf-a2c7-4ce60e1bd3ca,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,05cd1671-706e-45cf-870d-5dcbef554ccf,61f77a88-8f4a-407f-bdc6-7f06ef467f94,Science and Causality Questions for SSS Students V2,T1.Q5,Does the article make some kind of causal claim?,T1.Q5.A1,Yes,de55e6b5-bf3d-4ff0-9d14-f4072f63d5df,05cd1671-706e-45cf-870d-5dcbef554ccf,Yes,0,3472,3584,children exposed to THC in utero were more impulsive than other children and less able to focus their attention.,10122
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,78a04eb2-9135-45cf-a2c7-4ce60e1bd3ca,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,05cd1671-706e-45cf-870d-5dcbef554ccf,61f77a88-8f4a-407f-bdc6-7f06ef467f94,Science and Causality Questions for SSS Students V2,T1.Q5,Does the article make some kind of causal claim?,T1.Q5.A1,Yes,de55e6b5-bf3d-4ff0-9d14-f4072f63d5df,05cd1671-706e-45cf-870d-5dcbef554ccf,Yes,0,3602,3746,"children of mothers who used marijuana heavily in the first trimester had lower scores in reading, math and spelling at age 14 than their peers.",10122
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,78a04eb2-9135-45cf-a2c7-4ce60e1bd3ca,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,05cd1671-706e-45cf-870d-5dcbef554ccf,61f77a88-8f4a-407f-bdc6-7f06ef467f94,Science and Causality Questions for SSS Students V2,T1.Q5,Does the article make some kind of causal claim?,T1.Q5.A1,Yes,de55e6b5-bf3d-4ff0-9d14-f4072f63d5df,05cd1671-706e-45cf-870d-5dcbef554ccf,Yes,0,3748,3815,"“Prenatal exposure can affect the adolescent pretty significantly,”",10122
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,78a04eb2-9135-45cf-a2c7-4ce60e1bd3ca,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,05cd1671-706e-45cf-870d-5dcbef554ccf,61f77a88-8f4a-407f-bdc6-7f06ef467f94,Science and Causality Questions for SSS Students V2,T1.Q5,Does the article make some kind of causal claim?,T1.Q5.A1,Yes,de55e6b5-bf3d-4ff0-9d14-f4072f63d5df,05cd1671-706e-45cf-870d-5dcbef554ccf,Yes,0,3993,4080,"changes in the brains of fetuses, 18 to 22 weeks old, linked to maternal marijuana use.",10122
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,78a04eb2-9135-45cf-a2c7-4ce60e1bd3ca,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,05cd1671-706e-45cf-870d-5dcbef554ccf,61f77a88-8f4a-407f-bdc6-7f06ef467f94,Science and Causality Questions for SSS Students V2,T1.Q5,Does the article make some kind of causal claim?,T1.Q5.A1,Yes,de55e6b5-bf3d-4ff0-9d14-f4072f63d5df,05cd1671-706e-45cf-870d-5dcbef554ccf,Yes,0,4081,4186,"In male fetuses who were exposed, for instance, researchers have noted abnormal function of the amygdala,",10122
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,78a04eb2-9135-45cf-a2c7-4ce60e1bd3ca,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,05cd1671-706e-45cf-870d-5dcbef554ccf,61f77a88-8f4a-407f-bdc6-7f06ef467f94,Science and Causality Questions for SSS Students V2,T1.Q5,Does the article make some kind of causal claim?,T1.Q5.A1,Yes,de55e6b5-bf3d-4ff0-9d14-f4072f63d5df,05cd1671-706e-45cf-870d-5dcbef554ccf,Yes,0,4234,4335,"“Even early in development, marijuana is changing critical circuits and neurotransmitting receptors,”",10122
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,78a04eb2-9135-45cf-a2c7-4ce60e1bd3ca,http://pe.goodlylabs.org/project/SSSPECaus2/task/778,SSSPETest2,1739,1739SSSArticle.txt,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,05cd1671-706e-45cf-870d-5dcbef554ccf,61f77a88-8f4a-407f-bdc6-7f06ef467f94,Science and Causality Questions for SSS Students V2,T1.Q5,Does the article make some kind of causal claim?,T1.Q5.A1,Yes,de55e6b5-bf3d-4ff0-9d14-f4072f63d5df,05cd1671-706e-45cf-870d-5dcbef554ccf,Yes,0,4609,4682,"developing brains of teenagers can be altered with regular marijuana use,",10122
