schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q1.A3,T1.Q1.A4,T1.Q1.A5,T1.Q1.A6,T1.Q2,T1.Q3
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,e051c1cb-8bc0-453c-b29b-37b3e7629736,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1875,8,18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,03a77e0e-9a65-4871-98d7-6115c716cb9f,f18207d6-37cb-4349-a31e-a4ff2adcf299,2019-04-19 08:47:50.044819,2019-04-19 08:51:22.571104,212.526285,"T1.Q1, T1.Q2, T1.Q3",1,1,0,0,0,0,5: Middling difficulty,6
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,e051c1cb-8bc0-453c-b29b-37b3e7629736,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1875,8,18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,b4837527-7efb-49b1-8c24-acec54802bf7,bcf4ec10-b869-4e0f-89a7-133f825c910d,2019-04-22 03:24:02.787361,2019-04-22 04:23:00.680269,3537.892908,"T1.Q1, T1.Q2, T1.Q3",1,1,0,0,1,0,6,6
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,e051c1cb-8bc0-453c-b29b-37b3e7629736,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1875,8,18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ca294665-6c8a-4f9b-a48b-074f6d238294,a2f9116f-94e4-448c-b513-8a7ab93d3d2f,2019-04-23 04:43:16.209088,2019-04-23 06:45:15.383208,7319.17412,"T1.Q1, T1.Q2, T1.Q3",1,0,1,0,0,0,3,8
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,e051c1cb-8bc0-453c-b29b-37b3e7629736,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1875,8,18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,c3a2e71d-53c8-4db5-a2d9-f36931dc4d2d,a2c02f27-95a3-4b31-9f31-bd024c0c0517,2019-04-23 09:11:01.769531,2019-04-23 09:11:02.207412,0.437881,"T1.Q1, T1.Q2, T1.Q3",1,0,0,0,0,0,4,7
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,e051c1cb-8bc0-453c-b29b-37b3e7629736,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1875,8,18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,603cf6fa-be68-4e62-9134-d9c47a393d36,d970aaa4-3cde-4e75-937b-ea73fb0ca0f1,2019-04-23 17:34:38.750938,2019-04-23 17:57:28.907792,1370.156854,"T1.Q1, T1.Q2, T1.Q3",1,1,0,0,0,0,5: Middling difficulty,7
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,e051c1cb-8bc0-453c-b29b-37b3e7629736,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1875,8,18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,55231e03-0dc6-41d7-94b7-00aa27be1919,3a6b0929-a821-4616-8599-9b860526d09d,2019-04-23 21:47:00.077259,2019-04-23 21:54:31.415940,451.338681,"T1.Q1, T1.Q2, T1.Q3",1,0,0,0,0,0,6,4
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,e051c1cb-8bc0-453c-b29b-37b3e7629736,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1875,8,18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ec7fc22c-04c9-428a-b95e-55261fed99f3,b359f9af-81af-4246-96d3-ee2c770022bb,2019-04-23 21:55:47.472151,2019-04-23 21:56:09.519521,22.04737,"T1.Q1, T1.Q2, T1.Q3",1,0,0,0,0,0,5: Middling difficulty,5: 50-50
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,e051c1cb-8bc0-453c-b29b-37b3e7629736,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1875,8,18,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,1517864f-eae3-484e-90d4-fc41d64f06e3,7b50486e-3d5e-474f-a40a-09c738f19bda,2019-04-23 23:56:29.447513,2019-04-23 23:56:51.902060,22.454547,"T1.Q1, T1.Q2, T1.Q3",1,0,0,0,0,0,6,6
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,2ba1d9d4-040b-412d-a946-30d05b5e4d68,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1876,8,18,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,668860d7-6a63-45ce-8c78-523d03504256,f18207d6-37cb-4349-a31e-a4ff2adcf299,2019-04-19 08:47:50.130619,2019-04-19 08:52:14.724303,264.593684,"T1.Q1, T1.Q2, T1.Q3",1,1,0,0,0,0,3,8
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,2ba1d9d4-040b-412d-a946-30d05b5e4d68,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1876,8,18,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,01388ef2-48af-4c44-b9eb-9951406eb01f,bcf4ec10-b869-4e0f-89a7-133f825c910d,2019-04-22 03:24:02.890036,2019-04-22 04:23:52.328875,3589.438839,"T1.Q1, T1.Q2, T1.Q3",1,1,1,0,0,0,5: Middling difficulty,7
