schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,start_pos,end_pos,target_text,source_text_length
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,e051c1cb-8bc0-453c-b29b-37b3e7629736,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1875,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,87c04080-219a-459a-8ac4-97b5a03aaf63,f18207d6-37cb-4349-a31e-a4ff2adcf299,Argument relevance,T1.Q1,The bolded argument is....,T1.Q1.A1,The main argument of the article,7e2739de-127d-43ea-9f51-c9f3c6b3ec35,87c04080-219a-459a-8ac4-97b5a03aaf63,The main argument of the article,1,1144,1255,"doctors\u2019 prescribing habits \u2014 whether they give out opioids at a higher rate versus a lower rate \u2014 matter a lot",5385
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,e051c1cb-8bc0-453c-b29b-37b3e7629736,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1875,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,09c366ba-3b84-4ac2-858e-417357216005,f18207d6-37cb-4349-a31e-a4ff2adcf299,Argument relevance,T1.Q1,The bolded argument is....,T1.Q1.A2,One of several key arguments,ea011d00-6ee6-4afb-b939-5f2838fa87d0,09c366ba-3b84-4ac2-858e-417357216005,One of several key arguments,1,1745,2120,"This was a clever study design, since the major difference between the groups was how the doctors prescribed opioids, which allowed the researchers to figure out whether the prescribing patterns influenced patients\u2019 long-term use of painkillers. (In the study, \u201clong-term use\u201d was described as six or more months of daily opioids in the 12-month period following the ER visit",5385
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,e051c1cb-8bc0-453c-b29b-37b3e7629736,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1875,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,09c366ba-3b84-4ac2-858e-417357216005,f18207d6-37cb-4349-a31e-a4ff2adcf299,Argument relevance,T1.Q1,The bolded argument is....,T1.Q1.A2,One of several key arguments,ea011d00-6ee6-4afb-b939-5f2838fa87d0,09c366ba-3b84-4ac2-858e-417357216005,One of several key arguments,1,2124,2385,"It turns out the doctors\u2019 actions mattered hugely. The patients who saw the heavy opioid prescribers were three times more likely to receive a prescription for opioids compared with the patients who saw the more judicious opioid prescribers at the same hospital",5385
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,e051c1cb-8bc0-453c-b29b-37b3e7629736,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1875,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,09c366ba-3b84-4ac2-858e-417357216005,f18207d6-37cb-4349-a31e-a4ff2adcf299,Argument relevance,T1.Q1,The bolded argument is....,T1.Q1.A2,One of several key arguments,ea011d00-6ee6-4afb-b939-5f2838fa87d0,09c366ba-3b84-4ac2-858e-417357216005,One of several key arguments,1,2637,2826,"If our results represent a causal relationship, for every 48 patients prescribed a new opioid in the emergency department who might not otherwise use opioids, 1 will become a long-term user",5385
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,e051c1cb-8bc0-453c-b29b-37b3e7629736,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1875,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,09c366ba-3b84-4ac2-858e-417357216005,f18207d6-37cb-4349-a31e-a4ff2adcf299,Argument relevance,T1.Q1,The bolded argument is....,T1.Q1.A2,One of several key arguments,ea011d00-6ee6-4afb-b939-5f2838fa87d0,09c366ba-3b84-4ac2-858e-417357216005,One of several key arguments,1,2853,3264,"What\u2019s more, the patients who, by chance, saw a doctor who more frequently prescribed the drugs were 30 percent more likely to become long-term users of painkillers. So the higher the chances of getting opioids at a single doctor visit, the higher the risk of becoming a regular user. These patients also had higher rates of opioid-related health complications like falls, fractures, constipation, and overdoses",5385
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,e051c1cb-8bc0-453c-b29b-37b3e7629736,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1875,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,09c366ba-3b84-4ac2-858e-417357216005,f18207d6-37cb-4349-a31e-a4ff2adcf299,Argument relevance,T1.Q1,The bolded argument is....,T1.Q1.A2,One of several key arguments,ea011d00-6ee6-4afb-b939-5f2838fa87d0,09c366ba-3b84-4ac2-858e-417357216005,One of several key arguments,1,3267,3614,"In a separate analysis, the researchers looked at doctors who gave out high doses versus low doses of painkillers when they prescribe, and found the same effect: 30 percent higher use when patients saw higher dose prescribers, though the researchers also acknowledged this long-term use required prescriptions from other doctors after the ER visit",5385
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,2ba1d9d4-040b-412d-a946-30d05b5e4d68,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1876,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,5189dd38-548e-4305-86a7-4d9b0173400c,f18207d6-37cb-4349-a31e-a4ff2adcf299,Argument relevance,T1.Q1,The bolded argument is....,T1.Q1.A1,The main argument of the article,7e2739de-127d-43ea-9f51-c9f3c6b3ec35,5189dd38-548e-4305-86a7-4d9b0173400c,The main argument of the article,1,114,240,"The amount a teenager sleeps is associated with how likely they are to engage in risky and suicidal behavior, a new study said",3515
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,2ba1d9d4-040b-412d-a946-30d05b5e4d68,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1876,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,5189dd38-548e-4305-86a7-4d9b0173400c,f18207d6-37cb-4349-a31e-a4ff2adcf299,Argument relevance,T1.Q1,The bolded argument is....,T1.Q1.A1,The main argument of the article,7e2739de-127d-43ea-9f51-c9f3c6b3ec35,5189dd38-548e-4305-86a7-4d9b0173400c,The main argument of the article,1,244,543,"Fewer hours of sleep on an average school night [is] associated with increased odds of all selected unsafe behaviors,"" the authors wrote, including risk-taking while driving, such as drunken driving, potentially unsafe sexual activity, aggressive behavior and use of alcohol, tobacco and other drugs",3515
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,2ba1d9d4-040b-412d-a946-30d05b5e4d68,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1876,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,55d27dc8-b23f-47a1-96ee-8974cacbbe12,f18207d6-37cb-4349-a31e-a4ff2adcf299,Argument relevance,T1.Q1,The bolded argument is....,T1.Q1.A2,One of several key arguments,ea011d00-6ee6-4afb-b939-5f2838fa87d0,55d27dc8-b23f-47a1-96ee-8974cacbbe12,One of several key arguments,1,546,706,"Participants' sleep duration was categorized as eight hours or more, seven hours, six hours or less than six hours and then measured against high-risk behaviors",3515
ArgumentRelevance_2019_04_16,101378d4de4ac771fe9860657086b245ca47a1dac0316f3a1825b7fe66625157,2ba1d9d4-040b-412d-a946-30d05b5e4d68,https://pe.goodlylabs.org/project/sp19_urap_argument/task/1876,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,55d27dc8-b23f-47a1-96ee-8974cacbbe12,f18207d6-37cb-4349-a31e-a4ff2adcf299,Argument relevance,T1.Q1,The bolded argument is....,T1.Q1.A2,One of several key arguments,ea011d00-6ee6-4afb-b939-5f2838fa87d0,55d27dc8-b23f-47a1-96ee-8974cacbbe12,One of several key arguments,1,771,1171,"The team found the strongest associations in relation to mood and self-harm. Teens who slept for less than six hours per night\xa0were three times more likely to report considering suicide, planning a suicide attempt or attempting suicide, compared with teens who slept eight hours or more. They were also four times more likely to have reported a suicide attempt that resulted in them needing treatment",3515
