schema_namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,56331202-027a-4c6a-acf2-33bb6504a73d,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",8db0c60f-d690-437f-b01f-46e4f4ff4417,T1.Q1,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,4dcdc3b8-25e9-48f1-ab32-ba95584b1388,T1.Q1.A1,"Honorific (e.g. Mr. Mrs., Dr.)",,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,56331202-027a-4c6a-acf2-33bb6504a73d,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",8db0c60f-d690-437f-b01f-46e4f4ff4417,T1.Q1,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,218c5781-4ceb-401a-baf8-ca45efdcdaec,T1.Q1.A2,"Title, role, or position (e.g. ""Professor of Paleontology"")",,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,56331202-027a-4c6a-acf2-33bb6504a73d,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",8db0c60f-d690-437f-b01f-46e4f4ff4417,T1.Q1,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,c1e0dd1f-dd65-4751-80cb-87a460377042,T1.Q1.A3,"First name (e.g. ""Jon"")",,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,56331202-027a-4c6a-acf2-33bb6504a73d,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",8db0c60f-d690-437f-b01f-46e4f4ff4417,T1.Q1,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,a1a72e87-2f3e-4c6a-ae01-511d49357328,T1.Q1.A4,Middle name or initial,,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,56331202-027a-4c6a-acf2-33bb6504a73d,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",8db0c60f-d690-437f-b01f-46e4f4ff4417,T1.Q1,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,e4970050-7ed1-46e9-ae07-d99da372fe3e,T1.Q1.A5,"Last name (e.g. ""Snow"")",,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,56331202-027a-4c6a-acf2-33bb6504a73d,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",8db0c60f-d690-437f-b01f-46e4f4ff4417,T1.Q1,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,0a519b91-568b-4f62-a4ca-d688b1e42c94,T1.Q1.A6,"Other description of person (e.g. ""Boston's favorite ice cream heiress"")",,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,56331202-027a-4c6a-acf2-33bb6504a73d,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",8db0c60f-d690-437f-b01f-46e4f4ff4417,T1.Q1,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,302a11d3-7e7a-4985-b6a4-3354c28ea4e1,T1.Q1.A7,"Organization (e.g. ""from House Stark"" or ""of the University of Lichfield"")",,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,56331202-027a-4c6a-acf2-33bb6504a73d,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",8db0c60f-d690-437f-b01f-46e4f4ff4417,T1.Q1,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,590a9193-9c4b-48a8-bf75-f2fc3f8cf070,T1.Q1.A8,"Description of Organization (i.e. ""a Springfield institution"")",,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,56331202-027a-4c6a-acf2-33bb6504a73d,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",8db0c60f-d690-437f-b01f-46e4f4ff4417,T1.Q1,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,426b7162-a19c-415b-989f-b6f75486f7bb,T1.Q1.A9,"Only a vague description (e.g. ""experts say ..."")",,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
SourceSpecialist2019_04_16,2587460972e332ef575e93b72bcb2c4c291683e0f7e41694d6942fcb6d614945,56331202-027a-4c6a-acf2-33bb6504a73d,Source relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",3ca9788f-bc01-4822-aa3d-14bbc5087d6c,T1.Q2,"Using the highlight options below, indicate which portions of the bolded text are:",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",2,9e912174-6f56-4f21-9152-1135f01428b8,T1.Q2.A1,Direct quote,,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
