schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,article_text_length,quiz_taskrun_uuid,contributor_uuid,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,highlight_count,submitted_tua
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,d3c4ef19-4147-4d5e-9a2e-b9077308c818,https://pe.goodlylabs.org/project/Sp19probability_1/task/1694,SSSPETest2,1731,1731SSSArticle.txt,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,9802,4d139cf3-3723-447b-8c70-7a75ffc17d39,ec3b204f-2b04-4dc9-9e9b-cdf35364e6bc,Probability Specialist V4,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,T1.Q1.A2,Maybe,b95421a6-e17a-41d8-af7d-3d639bc534dc,4d139cf3-3723-447b-8c70-7a75ffc17d39,Maybe,1,1,"[{""case_number"": 1, ""text"": ""seems"", ""answer_id"": 3598, ""end"": 9091, ""start"": 9086}]"
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,d3c4ef19-4147-4d5e-9a2e-b9077308c818,https://pe.goodlylabs.org/project/Sp19probability_1/task/1694,SSSPETest2,1731,1731SSSArticle.txt,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,9802,c83b2517-ab32-4afd-a2a2-65aec5278353,ec3b204f-2b04-4dc9-9e9b-cdf35364e6bc,Probability Specialist V4,T1.Q2,To what extent does the confidence seem justified?,T1.Q2.A5,Not at all justified,cf7e439e-6160-4fcb-b6ee-aab960ccc6bf,c83b2517-ab32-4afd-a2a2-65aec5278353,Not at all justified,0,0,[]
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,d3c4ef19-4147-4d5e-9a2e-b9077308c818,https://pe.goodlylabs.org/project/Sp19probability_1/task/1694,SSSPETest2,1731,1731SSSArticle.txt,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,9802,bd2bb6fc-e2cb-469d-a597-02e95655e8df,ec3b204f-2b04-4dc9-9e9b-cdf35364e6bc,Probability Specialist V4,T1.Q5,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",T1.Q5.A3,No,ee7111c1-d9df-4d98-9c42-118bcaf64d04,bd2bb6fc-e2cb-469d-a597-02e95655e8df,No,0,0,[]
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,d3c4ef19-4147-4d5e-9a2e-b9077308c818,https://pe.goodlylabs.org/project/Sp19probability_1/task/1694,SSSPETest2,1731,1731SSSArticle.txt,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,9802,cdf5df2c-c53b-4d49-873c-b9311a25dbfb,ec3b204f-2b04-4dc9-9e9b-cdf35364e6bc,Probability Specialist V4,T1.Q6,Are any numbers given?,T1.Q6.A1,No,54c3ed71-0715-4b42-af27-82b74af98706,cdf5df2c-c53b-4d49-873c-b9311a25dbfb,No,0,0,[]
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,d3c4ef19-4147-4d5e-9a2e-b9077308c818,https://pe.goodlylabs.org/project/Sp19probability_1/task/1694,SSSPETest2,1731,1731SSSArticle.txt,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,9802,254cc246-6115-4fac-b5d0-95c3075061e2,ec3b204f-2b04-4dc9-9e9b-cdf35364e6bc,Probability Specialist V4,T1.Q11,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,T1.Q11.A4,"No, not at all",da4b56f5-99ed-4c9d-a337-8365fa779662,254cc246-6115-4fac-b5d0-95c3075061e2,"No, not at all",0,0,[]
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,d3c4ef19-4147-4d5e-9a2e-b9077308c818,https://pe.goodlylabs.org/project/Sp19probability_1/task/1694,SSSPETest2,1731,1731SSSArticle.txt,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,9802,f63c78ec-cf75-43a6-a20e-87ba5c10b925,ec3b204f-2b04-4dc9-9e9b-cdf35364e6bc,Probability Specialist V4,T1.Q14,"How confident are you about your answers, on the whole?",T1.Q14.A5,5: 50-50,4f09aca4-57c9-40a1-a33f-a490e8ee8485,f63c78ec-cf75-43a6-a20e-87ba5c10b925,5: 50-50,0,0,[]
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,https://pe.goodlylabs.org/project/Sp19probability_1/task/1695,SSSPETest2,1728,1728SSSArticle.txt,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,3796,00761870-fb2a-4c72-b793-1cf0ee4aa982,ec3b204f-2b04-4dc9-9e9b-cdf35364e6bc,Probability Specialist V4,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,T1.Q1.A2,Maybe,b95421a6-e17a-41d8-af7d-3d639bc534dc,00761870-fb2a-4c72-b793-1cf0ee4aa982,Maybe,1,1,"[{""case_number"": 1, ""text"": ""at least in part"", ""answer_id"": 3598, ""end"": 277, ""start"": 261}]"
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,https://pe.goodlylabs.org/project/Sp19probability_1/task/1695,SSSPETest2,1728,1728SSSArticle.txt,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,3796,ef0cd8de-7867-40bd-bd51-4e60c3360016,ec3b204f-2b04-4dc9-9e9b-cdf35364e6bc,Probability Specialist V4,T1.Q2,To what extent does the confidence seem justified?,T1.Q2.A5,Not at all justified,cf7e439e-6160-4fcb-b6ee-aab960ccc6bf,ef0cd8de-7867-40bd-bd51-4e60c3360016,Not at all justified,0,0,[]
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,https://pe.goodlylabs.org/project/Sp19probability_1/task/1695,SSSPETest2,1728,1728SSSArticle.txt,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,3796,e1d86fe8-40fa-4711-a9de-eae6c8abd551,ec3b204f-2b04-4dc9-9e9b-cdf35364e6bc,Probability Specialist V4,T1.Q5,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",T1.Q5.A2,"Yes, implicitly",779779b2-6509-46c4-bbbc-18c1cc298422,e1d86fe8-40fa-4711-a9de-eae6c8abd551,"Yes, implicitly",1,1,"[{""case_number"": 1, ""text"": ""because"", ""answer_id"": 3606, ""end"": 285, ""start"": 278}]"
ProbabilitySpecialist_2019_03_10,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,https://pe.goodlylabs.org/project/Sp19probability_1/task/1695,SSSPETest2,1728,1728SSSArticle.txt,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,3796,50acde03-7e15-4068-a298-1ff5e1df3d0b,ec3b204f-2b04-4dc9-9e9b-cdf35364e6bc,Probability Specialist V4,T1.Q6,Are any numbers given?,T1.Q6.A1,No,54c3ed71-0715-4b42-af27-82b74af98706,50acde03-7e15-4068-a298-1ff5e1df3d0b,No,0,0,[]
